"Timestamp","uid","time","name","target","info","state","version"
"2018/04/13 2:34:41 PM AST","OS_X-Chrome-5552962779826582","1523644481832","linkgame","[object HTMLDocument]","{""seed"":""1""}","#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1523484045605&elapsed=1793318&size=2","A"
"2018/04/13 2:34:45 PM AST","OS_X-Chrome-5552962779826582","1523644486462","mousedown","center#centerlayout","{""which"":1,""pageX"":515,""pageY"":216}","#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1523484045605&elapsed=1793318&size=2","A"
"2018/04/13 2:36:02 PM AST","OS_X-Chrome-5552962779826582","1523644563398","mousedown","div#sn1.sudoku-answer","{""which"":1,""pageX"":597,""pageY"":248}","#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1523484045605&elapsed=1793318&size=2","A"
"2018/04/13 2:36:05 PM AST","OS_X-Chrome-5552962779826582","1523644565858","mousedown","div.sudoku-answer.nk4","{""which"":1,""pageX"":365,""pageY"":349}","#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1523484045605&elapsed=1874887&size=2","A"
"2018/04/13 2:36:06 PM AST","OS_X-Chrome-5552962779826582","1523644566777","mousedown","div#sn1.sudoku-answer","{""which"":1,""pageX"":609,""pageY"":249}","#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1523484045605&elapsed=1874887&size=2","A"
"2018/04/13 2:36:09 PM AST","OS_X-Chrome-5552962779826582","1523644570404","mousedown","div.sudoku-answer.nk3","{""which"":1,""pageX"":372,""pageY"":314}","#puzzle=0000023040010000&answer=0400000000000000&work=&seed=1&gentime=1523484045605&elapsed=1878267&size=2","A"
"2018/04/13 2:36:10 PM AST","OS_X-Chrome-5552962779826582","1523644571030","mousedown","div#sn0.sudoku-answer","{""which"":1,""pageX"":570,""pageY"":251}","#puzzle=0000023040010000&answer=0400000000000000&work=&seed=1&gentime=1523484045605&elapsed=1878267&size=2","A"
"2018/04/13 2:36:11 PM AST","OS_X-Chrome-5552962779826582","1523644571807","mousedown","div.sudoku-answer.nk1","{""which"":1,""pageX"":373,""pageY"":231}","#puzzle=0000023040010000&answer=3400000000000000&work=&seed=1&gentime=1523484045605&elapsed=1882518&size=2","A"
"2018/04/13 2:36:11 PM AST","OS_X-Chrome-5552962779826582","1523644572485","mousedown","div#sn4.sudoku-answer","{""which"":1,""pageX"":556,""pageY"":300}","#puzzle=0000023040010000&answer=3400000000000000&work=&seed=1&gentime=1523484045605&elapsed=1882518&size=2","A"
"2018/04/13 2:36:13 PM AST","OS_X-Chrome-5552962779826582","1523644574457","mousedown","input#checkbutton","{""which"":1,""pageX"":585,""pageY"":454}","#puzzle=0000023040010000&answer=3400100000000000&work=&seed=1&gentime=1523484045605&elapsed=1883973&size=2","A"
"2018/04/13 2:36:18 PM AST","OS_X-Chrome-5552962779826582","1523644578638","mousedown","div.sudoku-answer.nk2","{""which"":1,""pageX"":385,""pageY"":276}","#puzzle=0000023040010000&answer=3400100000000000&work=&seed=1&gentime=1523484045605&elapsed=1883973&size=2","A"
"2018/04/13 2:36:18 PM AST","OS_X-Chrome-5552962779826582","1523644579460","mousedown","div#sn12.sudoku-answer","{""which"":1,""pageX"":555,""pageY"":391}","#puzzle=0000023040010000&answer=3400100000000000&work=&seed=1&gentime=1523484045605&elapsed=1883973&size=2","A"
"2018/04/13 2:36:21 PM AST","OS_X-Chrome-5552962779826582","1523644581834","mousedown","div.sudoku-answer.nk3","{""which"":1,""pageX"":364,""pageY"":306}","#puzzle=0000023040010000&answer=3400100000002000&work=&seed=1&gentime=1523484045605&elapsed=1890949&size=2","A"
"2018/04/13 2:36:22 PM AST","OS_X-Chrome-5552962779826582","1523644582610","mousedown","div#sn9.sudoku-answer","{""which"":1,""pageX"":614,""pageY"":357}","#puzzle=0000023040010000&answer=3400100000002000&work=&seed=1&gentime=1523484045605&elapsed=1890949&size=2","A"
"2018/04/13 2:36:22 PM AST","OS_X-Chrome-5552962779826582","1523644583296","mousedown","div.sudoku-answer.nk1","{""which"":1,""pageX"":391,""pageY"":234}","#puzzle=0000023040010000&answer=3400100003002000&work=&seed=1&gentime=1523484045605&elapsed=1894099&size=2","A"
"2018/04/13 2:36:23 PM AST","OS_X-Chrome-5552962779826582","1523644584160","mousedown","div#sn13.sudoku-answer","{""which"":1,""pageX"":605,""pageY"":397}","#puzzle=0000023040010000&answer=3400100003002000&work=&seed=1&gentime=1523484045605&elapsed=1894099&size=2","A"
"2018/04/13 2:36:29 PM AST","OS_X-Chrome-5552962779826582","1523644589827","mousedown","div.sudoku-answer.nk4","{""which"":1,""pageX"":373,""pageY"":356}","#puzzle=0000023040010000&answer=3400100003002100&work=&seed=1&gentime=1523484045605&elapsed=1895649&size=2","A"
"2018/04/13 2:36:32 PM AST","OS_X-Chrome-5552962779826582","1523644592586","mousedown","div#sn7.sudoku-answer","{""which"":1,""pageX"":719,""pageY"":294}","#puzzle=0000023040010000&answer=3400100003002100&work=&seed=1&gentime=1523484045605&elapsed=1895649&size=2","A"
"2018/04/13 2:36:36 PM AST","OS_X-Chrome-5552962779826582","1523644597326","mousedown","div.sudoku-answer.nk1","{""which"":1,""pageX"":373,""pageY"":232}","#puzzle=0000023040010000&answer=3400100403002100&work=&seed=1&gentime=1523484045605&elapsed=1904076&size=2","A"
"2018/04/13 2:36:37 PM AST","OS_X-Chrome-5552962779826582","1523644598496","mousedown","div#sn2.sudoku-answer","{""which"":1,""pageX"":655,""pageY"":248}","#puzzle=0000023040010000&answer=3400100403002100&work=&seed=1&gentime=1523484045605&elapsed=1904076&size=2","A"
"2018/04/13 2:36:38 PM AST","OS_X-Chrome-5552962779826582","1523644599446","mousedown","div.sudoku-answer.nk2","{""which"":1,""pageX"":362,""pageY"":270}","#puzzle=0000023040010000&answer=3410100403002100&work=&seed=1&gentime=1523484045605&elapsed=1909985&size=2","A"
"2018/04/13 2:36:40 PM AST","OS_X-Chrome-5552962779826582","1523644600717","mousedown","div#sn3.sudoku-answer","{""which"":1,""pageX"":722,""pageY"":241}","#puzzle=0000023040010000&answer=3410100403002100&work=&seed=1&gentime=1523484045605&elapsed=1909985&size=2","A"
"2018/04/13 2:36:42 PM AST","OS_X-Chrome-5552962779826582","1523644603110","mousedown","div.sudoku-answer.nk3","{""which"":1,""pageX"":365,""pageY"":317}","#puzzle=0000023040010000&answer=3412100403002100&work=&seed=1&gentime=1523484045605&elapsed=1912207&size=2","A"
"2018/04/13 2:36:43 PM AST","OS_X-Chrome-5552962779826582","1523644604030","mousedown","div#sn15.sudoku-answer","{""which"":1,""pageX"":708,""pageY"":383}","#puzzle=0000023040010000&answer=3412100403002100&work=&seed=1&gentime=1523484045605&elapsed=1912207&size=2","A"
"2018/04/13 2:36:45 PM AST","OS_X-Chrome-5552962779826582","1523644606365","mousedown","div.sudoku-answer.nk4","{""which"":1,""pageX"":375,""pageY"":343}","#puzzle=0000023040010000&answer=3412100403002103&work=&seed=1&gentime=1523484045605&elapsed=1915519&size=2","A"
"2018/04/13 2:36:46 PM AST","OS_X-Chrome-5552962779826582","1523644607232","mousedown","div#sn14.sudoku-answer","{""which"":1,""pageX"":663,""pageY"":405}","#puzzle=0000023040010000&answer=3412100403002103&work=&seed=1&gentime=1523484045605&elapsed=1915519&size=2","A"
"2018/04/13 2:36:47 PM AST","OS_X-Chrome-5552962779826582","1523644607966","mousedown","div.sudoku-answer.nk2","{""which"":1,""pageX"":384,""pageY"":273}","#puzzle=0000023040010000&answer=3412100403002143&work=&seed=1&gentime=1523484045605&elapsed=1918721&size=2","A"
"2018/04/13 2:36:48 PM AST","OS_X-Chrome-5552962779826582","1523644608652","victory","[object HTMLDocument]","{""elapsed"":1920138,""seed"":""1""}","#puzzle=0000023040010000&answer=3412100403002143&work=&seed=1&gentime=1523484045605&elapsed=1918721&size=2","A"
"2018/04/13 2:36:48 PM AST","OS_X-Chrome-5552962779826582","1523644608651","mousedown","div#sn10.sudoku-answer","{""which"":1,""pageX"":654,""pageY"":347}","#puzzle=0000023040010000&answer=3412100403002143&work=&seed=1&gentime=1523484045605&elapsed=1918721&size=2","A"
"2018/04/13 2:36:50 PM AST","OS_X-Chrome-5552962779826582","1523644611348","mousedown","input#nextbutton","{""which"":1,""pageX"":742,""pageY"":442}","#puzzle=0000023040010000&answer=3412100403202143&work=&seed=1&gentime=1523484045605&elapsed=1920141&size=2","A"
